#,B200_Module,B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_Module,MI355X_Kernel,MI355X_Avg_us,Notes
13,EP_AR,EP_AR+residual+RMSNorm(fused),flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,stream 27 27_overlap,8.8,7.4,"other:void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, (cross):7.2μs | o_proj_GEMM(cross):0.2μs",,,,
14,Other,"other:void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, ",router_gemm_kernel_float_output<...>,470,10.4,10.2,EP_AR+residual+RMSNorm(fused)(cross):7.2μs | o_proj_quant(BF16→FP4)(cross):2.5μs | o_proj_GEMM(cross):0.4μs,,,,
15,Proj,o_proj_quant(BF16→FP4),cvt_fp16_to_fp4<...>,27,2.5,2.7,"other:void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, (cross):2.5μs | o_proj_GEMM(cross):0.3μs",,,,
16,Proj,o_proj_GEMM,_ZN7cutlass13device_kernelIN10flashinfer4gemm57DeviceGemmFp4GemmSm100___nv_bfloa,stream 27 27_overlap,9.3,12.1,"MoE_input_quant(BF16→FP4)(cross):4.5μs | TopK_select(cross):4.0μs | expert_sort(cross):2.9μs | other:void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, (cross):0.4μs | o_proj_quant(BF16→FP4)(cross):0.3μs",,,,
17,MoE_Route,MoE_input_quant(BF16→FP4),tensorrt_llm::kernels::quantize_with_block_size<...>,470,4.5,5.0,o_proj_GEMM(cross):4.5μs | TopK_select(cross):0.4μs,,,,
18,MoE_Route,TopK_select,moe::dev::routing::routingDeepSeek::routingMainKernel<...>,stream 470 470_overlap,4.2,6.8,o_proj_GEMM(cross):4.0μs | expert_sort(cross):2.3μs | MoE_input_quant(BF16→FP4)(cross):0.4μs,,,,
19,MoE_Route,expert_sort,moe::dev::routing::routingDeepSeek::routingIndicesClusterKernel<...>,470,4.7,6.5,o_proj_GEMM(cross):2.9μs | TopK_select(cross):2.3μs | SiLU×Mul(cross):1.4μs,,,,
20,Shared_Exp,SiLU×Mul,flashinfer::activation::act_and_mul_kernel<...>,27,2.5,2.5,gate_up_GEMM(+SwiGLU)(cross):2.2μs | expert_sort(cross):1.4μs,,,,
21,MoE_Expert,gate_up_GEMM(+SwiGLU),bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x16x512u2_s5_et128x16_m128x16x64_cga1x,stream 470 470_overlap,11.6,5.2,shared_GEMM(FP4)(cross):2.6μs | SiLU×Mul(cross):2.2μs | shared_quant(BF16→FP4)(cross):1.9μs | down_GEMM(cross):0.3μs,,,,
22,Shared_Exp,shared_quant(BF16→FP4),cvt_fp16_to_fp4<...>,27,1.9,2.0,gate_up_GEMM(+SwiGLU)(cross):1.9μs,,,,
23,Shared_Exp,shared_GEMM(FP4),_ZN7cutlass13device_kernelIN10flashinfer4gemm57DeviceGemmFp4GemmSm100___nv_bfloa,27,5.8,5.3,down_GEMM(cross):3.6μs | gate_up_GEMM(+SwiGLU)(cross):2.6μs,,,,
24,MoE_Expert,down_GEMM,bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x16x512u2_s5_et128x16_m128x16x64_cga1x1,470,9.9,3.7,shared_GEMM(FP4)(cross):3.6μs | other:void moe::dev::finalize::finalizeKernel<moe::dev::finalize::(cross):0.4μs | gate_up_GEMM(+SwiGLU)(cross):0.3μs,,,,
25,Other,other:void moe::dev::finalize::finalizeKernel<moe::dev::finalize::,moe::dev::finalize::finalizeKernel<...>,stream 470 470_overlap,2.9,1.0,down_GEMM(cross):0.4μs,,,,
26,Residual,residual_add,at::native::vectorized_elementwise_kernel<...>,27,1.7,0,,,,,

,,B200 TOTAL (kernel_sum),,,183.1,,,,MI355X TOTAL,,
,,B200 Walltime,,,122.1,,,,,,
,,B200 Overlap,,,61.0,,,,,,

,,PASS,,B200,MI355X,gap,,NV_Kernels,AMD_Kernels,,
,,MOE,,89.6,,,,,,,
,,MHA,,37.7,,,,,,,
,,O_proj,,20.3,,,,,,,
,,EP_AR_before_MHA,,26.7,,,,,,,
,,EP_AR_before_MOE,,8.8,,,,,,,
