rank,name,category,count,total_ms,pct,avg_us,min_us,max_us
22,nvjet_sm100_tst_48x64_64x15_4x1_v_bz_TNN,Other,9723,62.53015399999935,1.2443262808921325,6.431158490177862,6.048,9.728
23,"void at::native::vectorized_elementwise_kernel<4, at::native::float8_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul> >(int, at::native::float8_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul>)",Activation/Elementwise,1586,60.88045800000002,1.2114979579636167,38.38616519546029,2.112,84.448
24,fmhaSm100fKernel_QkvE4m3OBfloat16HQk192HV128SeparateQkvCausalVarSeqQ128Kv128PersistentContext,Attention,366,56.13356700000002,1.1170366325712247,153.37040163934432,25.792,225.057
25,"void moe::dev::routing::routingDeepSeek::routingMainKernel<moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 256, 8, true, true, true> >(moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 256, 8, true, true, true>)",MoE/Expert,9591,51.4501089999993,1.0238375997517073,5.36441549369193,3.936,39.297
26,"void moe::dev::routing::routingDeepSeek::routingIndicesClusterKernel<moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 256, 8, true, true, true> >(moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 256, 8, true, true, true>)",MoE/Expert,9243,49.50948999999963,0.9852200197774404,5.356430812506722,4.32,9.92
27,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &(float silu<float>(float const&))>(__nv_bfloat16*, __nv_bfloat16 const*, int)",Activation/Elementwise,10089,43.54886299999989,0.8666058096366022,4.31646971949647,2.335,115.584
28,nvjet_sm100_tst_128x64_64x8_4x1_v_bz_TNT,Other,9723,42.843749999999396,0.852574329130424,4.4064331996296815,3.872,7.808
29,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::float8_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::float8_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::float8_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::float8_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1})",Activation/Elementwise,976,42.572123999999945,0.8471690750449644,43.61897950819667,3.007,158.625
30,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul>)",Activation/Elementwise,9591,42.500446999999795,0.8457427300077253,4.431284224794057,1.728,97.889
31,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",Activation/Elementwise,9756,39.45981400000079,0.7852352898301961,4.044671381713898,2.912,21.152
32,nvjet_sm100_tst_64x32_64x16_2x2_2cta_h_bz_TNT,Other,9723,38.26109000000045,0.7613811381718364,3.93511159107276,3.584,6.976
33,"void tensorrt_llm::kernels::quantize_with_block_size<(tensorrt_llm::BlockScaleQuantizationType)0, __nv_bfloat16, 16, false>(int, int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*, flashinfer::QuantizationSFLayout)",Quantization,9243,33.364438000000035,0.6639396258419037,3.6096979335713555,2.752,7.68
34,set_mla_kv_buffer_kernel,Other,10089,26.909023999999953,0.5354793425961725,2.667164634750714,1.472,43.072
35,"void flashinfer::RopeQuantizeKernel<true, 16u, 1u, __nv_bfloat16, long, __nv_fp8_e4m3>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, float*, long*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, float, float)",Quantization,9723,25.821522999998667,0.513838486333479,2.655715622750043,2.4,6.144
36,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",Activation/Elementwise,610,15.236169999999989,0.303193987834101,24.97732786885244,3.423,34.784
37,"void tensorrt_llm::kernels::quantize_with_block_size_tma<(tensorrt_llm::BlockScaleQuantizationType)0, __nv_bfloat16, 16, false>(int, int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*, flashinfer::QuantizationSFLayout, CUtensorMap_st)",Quantization,348,13.549160000000002,0.2696231304981693,38.93436781609196,13.856,55.521
38,"void merge_attn_states_kernel<__nv_bfloat16, 128u>(__nv_bfloat16*, float*, __nv_bfloat16 const*, float const*, __nv_bfloat16 const*, float const*, unsigned int, unsigned int, unsigned int)",Other,244,13.341715000000004,0.26549505390108197,54.67915983606559,12.352,70.145
39,concat_and_cast_mha_k_kernel,Attention,366,13.152750000000015,0.2617347222750192,35.936475409836106,3.552,52.64
40,nvjet_sm100_tst_256x64_64x5_4x1_v_bz_TNT,Other,159,12.233009000000004,0.24343222620385913,76.9371635220126,75.776,78.081
