#,Module,Operator,Raw_Kernel,Stream,Avg_us,Min_us,Max_us,Overlap_with
22,MoE_Route,expert_sort,moe::dev::routing::routingDeepSeek::routingIndicesClusterKernel<...>,385,5.3,5.0,5.6,TopK_select(same) | SiLU×Mul(cross) | shared_quant(cross) | shared_GEMM(cross) | gate_up_GEMM(same)
23,Shared_Exp,SiLU×Mul,flashinfer::activation::act_and_mul_kernel<...>,23,3.2,2.6,4.4,TopK_select(cross) | expert_sort(cross)
24,Shared_Exp,shared_quant(BF16→FP4),cvt_fp16_to_fp4<...>,23,1.7,1.6,1.9,expert_sort(cross) | TopK_select(cross)
25,MoE_Expert,gate_up_GEMM(+SwiGLU),bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x16x512_s5_et128x16_m128x16x64_cga1x1x,385,101.7,88.0,110.8,shared_GEMM(cross) | down_GEMM(same) | expert_sort(same)
26,Shared_Exp,shared_GEMM(FP4),_ZN7cutlass13device_kernelIN10flashinfer4gemm57DeviceGemmFp4GemmSm100___nv_bfloa,23,5.8,5.0,9.4,gate_up_GEMM(cross) | expert_sort(cross)
27,MoE_Expert,down_GEMM,bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x16x256_s6_et128x16_m128x16x64_cga1x1x1,385,55.8,52.3,59.2,gate_up_GEMM(same) | MoE_finalize+residual(same)
28,MoE_Expert,MoE_finalize+residual,moe::dev::finalize::finalizeKernelVecLoad<...>,385,7.5,7.3,8.0,down_GEMM(same)
29,Residual,residual_add,at::native::vectorized_elementwise_kernel<...>,23,2.1,2.0,2.5,

,,TOTAL,,,353.2,,,
,,Walltime,,,286.9,,,
,,Overlap,,,66.3,,,

,EP_AR,,,,36.9,10.4%,,
,Attention,,,,80.5,22.8%,,
,Proj,,,,24.2,6.8%,,
,MoE_Route,,,,33.8,9.6%,,
,Shared_Exp,,,,10.7,3.0%,,
,MoE_Expert,,,,165.0,46.7%,,
,Residual,,,,2.1,0.6%,,
