B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_Module,MI355X_Kernel,MI355X_Avg_us,Notes
down_GEMM,bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x16x256_s6_et128x16_m128x16x64_cga1x1x1,385,56.4,0.8,MoE_finalize+residual(pdl):0.6μs | gate_up_GEMM(+SwiGLU)(pdl):0.5μs,,,,B200 only
MoE_finalize+residual,moe::dev::finalize::finalizeKernelVecLoad<...>,385,7.5,0.0,down_GEMM(pdl):0.6μs,,,,B200 only
residual_add,at::native::vectorized_elementwise_kernel<...>,23,2.1,0.0,,,,,B200 only

B200 TOTAL (kernel_sum),,,353.7,,,MI355X TOTAL,,363.75,
B200 Walltime,,,288.5,,,,,,
B200 Overlap,,,64.9,,,,,,64.9us overlap = 18.3% of kernel sum

,Silicon NV,Silicon AMD,,,,,,,
PASS,B200,MI355X,gap,NV_Kernels,AMD_Kernels,,,,
EP_AR_before_MHA,25.6,37.87,+12.3,flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,"void aiter::reduce_scatter_cross_device_store<std::bfloat16_t, 4>(aiter::RankData*, aiter::RankSignals, aiter::Signal*, int, int)
void aiter::local_device_load_rmsnorm<std::bfloat16_t, 512, 2>(aiter::RankSignals, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, float, int, int, int)",,,,
