index,timestamp_us,duration_us,type
18119,1073481586657.7,9.3,small
18120,1073481586709.8,24.3,big
18121,1073481586780.9,9.3,small
18122,1073481586849.7,10.5,small
18123,1073481586907.0,8.0,small
18124,1073481586965.0,9.4,small
18125,1073481587021.6,9.1,small
18126,1073481587074.9,28.9,big
18127,1073481587148.5,9.4,small
18128,1073481587203.6,22.9,big
18129,1073481587273.8,8.2,small
18130,1073481587329.5,21.2,big
18131,1073481587398.2,8.3,small
18132,1073481587448.1,28.1,big
18133,1073481587523.0,7.5,small
18134,1073481587577.4,19.3,big
18135,1073481587643.7,8.0,small
18136,1073481587702.0,14.4,small
18137,1073481587763.5,8.5,small
18138,1073481587823.2,16.5,big
18139,1073481587886.2,8.8,small
18140,1073481587930.5,31.7,big
18141,1073481588005.2,13.4,small
18142,1073481588055.7,27.0,big
18143,1073481588127.5,10.8,small
18144,1073481588174.7,33.6,big
18145,1073481588252.6,10.9,small
18146,1073481588308.4,21.1,big
18147,1073481588376.4,8.4,small
18148,1073481588446.0,8.1,small
18149,1073481588500.3,8.2,small
18150,1073481588828.6,8.8,small
18151,1073481588864.2,9.2,small
18152,1073481588918.8,7.6,small
18153,1073481588952.2,8.9,small
18154,1073481589006.5,8.8,small
18155,1073481589042.5,8.4,small
18156,1073481589096.3,8.6,small
18157,1073481589144.7,37.5,big
18158,1073481589227.9,11.3,small
18159,1073481589284.8,15.6,big
18160,1073481589347.2,15.5,big
18161,1073481589416.1,12.0,small
18162,1073481589475.8,12.3,small
18163,1073481589534.5,24.2,big
18164,1073481589605.7,9.2,small
18165,1073481589675.8,8.4,small
18166,1073481589731.9,7.3,small
18167,1073481589790.6,14.7,small
18168,1073481589852.6,7.4,small
18169,1073481589910.9,12.0,small
18170,1073481589968.8,9.3,small
18171,1073481590017.4,38.5,big
18172,1073481590100.3,10.3,small
18173,1073481590161.1,23.2,big
18174,1073481590230.4,9.6,small
18175,1073481590302.2,8.6,small
18176,1073481590358.3,7.4,small
18177,1073481590416.2,14.9,small
18178,1073481590477.7,8.7,small
18179,1073481590537.7,14.6,small
18180,1073481590600.0,8.4,small
18181,1073481590646.1,40.1,big
18182,1073481590730.7,10.9,small
18183,1073481590783.9,22.8,big
18184,1073481590851.1,9.4,small
18185,1073481590903.7,27.9,big
18186,1073481590977.9,10.1,small
18187,1073481591043.5,11.2,small
18188,1073481591101.6,10.0,small
18189,1073481591168.3,8.1,small
18190,1073481591222.6,7.6,small
18191,1073481591272.8,22.6,big
18192,1073481591341.2,10.8,small
18193,1073481591390.2,33.5,big
18194,1073481591470.0,8.9,small
18195,1073481591513.3,31.7,big
18196,1073481591588.7,11.1,small
18197,1073481591644.4,39.1,big
18198,1073481591731.3,9.9,small
18199,1073481591781.9,24.4,big
18200,1073481591851.5,9.2,small
18201,1073481591898.5,26.6,big
18202,1073481591969.3,11.0,small
18203,1073481592034.7,8.4,small
18204,1073481592091.5,8.0,small
18205,1073481592148.7,27.4,big
18206,1073481592223.6,9.2,small
18207,1073481592280.0,25.7,big
18208,1073481592352.4,8.1,small
18209,1073481592395.3,34.3,big
18210,1073481592475.3,12.8,small
18211,1073481592533.6,19.9,big
18212,1073481592599.9,8.8,small
18213,1073481592671.7,7.9,small
18214,1073481592727.5,7.3,small
18215,1073481592772.9,30.0,big
18216,1073481592848.3,10.8,small
18217,1073481592913.9,15.8,big
18218,1073481592976.9,8.2,small
18219,1073481593035.0,15.7,big
18220,1073481593098.2,8.4,small
18221,1073481593156.7,19.2,big
18222,1073481593223.9,8.3,small
18223,1073481593290.2,9.2,small
18224,1073481593346.6,7.6,small
18225,1073481593397.8,21.5,big
18226,1073481593466.7,9.0,small
18227,1073481593530.1,9.3,small
18228,1073481593587.4,9.8,small
18229,1073481593639.1,34.2,big
18230,1073481593719.8,8.2,small
18231,1073481593777.8,14.5,small
18232,1073481593840.6,8.7,small
18233,1073481593891.3,23.7,big
